Prime,Collisions,Time [mc s]
2543,15746,295841
2549,15678,295900
2551,15587,296547
2557,15676,297109
2579,15477,295971
2591,15356,296468
2593,15296,296154
2609,15414,296224
2617,15413,295681
2621,15522,296444
2633,15264,296534
2647,15006,295854
2657,15122,296382
2659,15221,296179
2663,15134,296372
2671,14999,295989
2677,14817,296330
2683,14969,310672
2687,14920,313096
2689,15150,303156
2693,15040,298619
2699,14788,295834
2707,14912,296221
2711,14822,295766
2713,14739,295899
2719,14786,296097
2729,14814,296757
2731,14639,295923
2741,14767,296105
2749,14379,296292
2753,14572,296117
2767,14554,295854
2777,14241,296059
2789,14353,296780
2791,14276,296038
2797,14399,296824
2801,14331,296918
2803,14258,295726
2819,14228,296282
2833,14138,296208
2837,14027,295931
2843,14154,295645
2851,13939,295854
2857,13909,296661
2861,13880,295962
2879,13914,296370
2887,14005,296839
2897,13940,295848
2903,13747,295702
2909,14035,296266
2917,13649,296366
2927,13789,296065
2939,13416,296214
2953,13420,296026
2957,13468,295847
2963,13488,295911
2969,13508,296224
2971,13453,296049
2999,13211,296102
3001,13151,296038
3011,13185,296073
3019,13180,296049
3023,13398,296030
3037,12812,296411
3041,13316,295860
3049,13116,296016
3061,13120,296178
3067,12783,297748
3079,12854,301398
3083,12839,297999
3089,12867,296185
3109,12878,297164
3119,12873,296245
3121,12823,296059
3137,12985,296149
3163,12626,296158
3167,12775,296112
3169,12649,296386
3181,12572,296082
3187,12622,295918
3191,12286,295901
3203,12392,295890
3209,12557,295857
3217,12204,296230
3221,12294,296416
3229,12388,295970
3251,12150,296280
3253,12188,296079
3257,12273,295908
3259,12202,296125
3271,12375,296199
3299,12171,295824
3301,12138,296129
3307,12016,296096
3313,11991,295912
3319,12182,295886
3323,12053,296492
3329,12224,296377
3331,11996,295997
3343,11782,296036
3347,11921,296011
3359,12052,295851
3361,11889,299833
3371,11720,297540
3373,11790,296634
3389,11721,296227
3391,11657,296404
3407,11857,296379
3413,11739,296184
3433,11789,295936
3449,11426,296397
3457,11561,296592
3461,11448,295865
3463,11660,295830
3467,11566,296022
3469,11513,296262
3491,11465,296311
3499,11498,296184
3511,11387,297549
3517,11421,298819
3527,11446,296618
3529,11248,296079
3533,11333,295975
3539,11356,296247
3541,11511,296441
3547,11233,296369
3557,11257,437700
3559,11255,297866
3571,11262,297243
3581,11319,297239
3583,11216,297596
3593,10908,296840
3607,11223,296886
3613,11054,298028
3617,10981,297466
3623,11229,296997
3631,11073,297218
3637,10868,297218
3643,11023,296835
3659,10928,297150
3671,10880,296994
3673,10970,296265
3677,10861,296469
3691,10679,296101
3697,10996,296709
3701,10727,306101
3709,10914,295996
3719,10724,296897
3727,10742,295925
3733,10562,296145
3739,10760,296261
3761,10424,295933
3767,10668,296157
3769,10651,296197
3779,10642,296681
3793,10553,296081
3797,10502,297248
3803,10423,296155
3821,10408,296144
3823,10529,297855
3833,10614,296081
3847,10445,296309
3851,10295,296054
3853,10328,296009
3863,10518,296345
3877,10271,295801
3881,10285,295934
3889,10473,296001
3907,10263,297048
3911,10186,298847
3917,10162,296094
3919,10156,296158
3923,10090,295832
3929,10192,295868
3931,10156,296666
