Prime,Collisions,Time [mc s]
23053,1779,296069
23057,1723,295940
23059,1703,296175
23063,1745,295818
23071,1789,296083
23081,1690,295932
23087,1704,296212
23099,1787,296144
23117,1678,295847
23131,1698,295996
23143,1677,296735
23159,1701,295670
23167,1800,295856
23173,1771,295922
23189,1696,296022
23197,1742,296073
23201,1740,296277
23203,1756,296152
23209,1710,296899
23227,1707,296804
23251,1715,296458
23269,1793,296623
23279,1710,296893
23291,1746,296757
23293,1622,296693
23297,1693,296757
23311,1750,296921
23321,1740,296706
23327,1784,298301
23333,1799,296102
23339,1709,296009
23357,1714,296111
23369,1684,295890
23371,1711,296025
23399,1667,296046
23417,1718,297093
23431,1655,297456
23447,1690,298378
23459,1728,296657
23473,1716,295831
23497,1729,296590
23509,1673,295880
23531,1757,295796
23537,1726,296149
23539,1610,295572
23549,1761,296161
23557,1698,295968
23561,1713,295633
23563,1707,295814
23567,1681,296106
23581,1722,296027
23593,1731,295876
23599,1587,297766
23603,1699,296752
23609,1741,296072
23623,1654,296272
23627,1735,295942
23629,1697,297218
23633,1719,296066
23663,1738,295808
23669,1628,326124
23671,1612,295792
23677,1621,296072
23687,1720,296023
23689,1697,296331
23719,1595,295959
23741,1658,295759
23743,1693,295924
23747,1694,295777
23753,1651,296011
23761,1727,295813
23767,1645,296118
23773,1627,296007
23789,1743,296024
23801,1694,295958
23813,1668,296149
23819,1677,295866
23827,1718,296943
23831,1629,295926
23833,1719,295794
23857,1691,325180
23869,1740,295960
23873,1638,295871
23879,1721,295889
23887,1687,295950
23893,1655,295906
23899,1716,296067
23909,1703,296973
23911,1694,299314
23917,1697,295945
23929,1732,296242
23957,1716,296036
23971,1708,296026
23977,1647,295801
23981,1659,295902
23993,1721,352864
24001,1621,296114
24007,1636,295652
24019,1719,295677
24023,1681,296169
24029,1662,296031
24043,1684,295895
24049,1677,295892
24061,1668,296072
24071,1659,295612
24077,1719,295910
24083,1673,296042
24091,1683,295711
24097,1573,296309
24103,1681,295878
24107,1724,295995
24109,1616,295742
24113,1634,295920
24121,1666,295825
24133,1698,295865
24137,1638,296211
24151,1644,295832
24169,1663,295817
24179,1642,296185
24181,1660,296043
24197,1618,295938
24203,1674,295810
24223,1666,296074
24229,1672,295850
24239,1718,295903
24247,1645,296148
24251,1650,296020
24281,1673,295835
24317,1621,296098
24329,1586,296051
24337,1644,296112
24359,1645,295537
24371,1621,295787
24373,1591,295876
24379,1650,295723
24391,1588,296204
24407,1607,296341
24413,1650,297917
24419,1671,299881
24421,1628,297613
24439,1600,297321
24443,1622,297207
24469,1546,296885
24473,1677,296889
24481,1675,296939
24499,1667,296654
24509,1620,296595
24517,1649,296656
24527,1672,296617
24533,1668,296843
24547,1646,297007
24551,1686,296723
24571,1630,295916
24593,1692,295805
24611,1652,296263
24623,1640,295825
24631,1673,295784
24659,1612,296101
24671,1685,295943
24677,1634,295984
24683,1608,296004
24691,1563,295742
24697,1635,295943
24709,1581,296464
24733,1673,295871
24749,1608,295733
24763,1645,295825
24767,1568,295810
24781,1631,296631
24793,1642,296326
24799,1593,296173
24809,1565,295879
24821,1643,296233
24841,1566,296141
24847,1620,295898
24851,1557,296290
24859,1617,295934
24877,1559,296016
24889,1658,295822
24907,1582,295827
24917,1602,295801
24919,1634,295936
24923,1591,296429
24943,1573,295808
24953,1595,296115
24967,1637,296072
24971,1586,295947
24977,1559,295783
24979,1633,296563
24989,1695,299386
25013,1666,296189
25031,1572,297032
25033,1585,297351
25037,1618,296981
25057,1578,296958
25073,1667,297095
25087,1577,296814
25097,1642,296378
25111,1688,295898
25117,1637,295727
25121,1614,295882
25127,1592,295842
25147,1561,296125
25153,1548,296060
25163,1613,296388
25169,1591,296082
25171,1592,301404
25183,1598,296566
25189,1534,295934
25219,1551,296046
25229,1576,295902
25237,1625,296349
25243,1574,295972
25247,1510,295896
25253,1544,295757
25261,1617,295645
25301,1660,295798
25303,1622,296092
25307,1540,295812
25309,1555,295493
25321,1567,295891
25339,1534,296072
25343,1537,295637
25349,1629,296282
25357,1610,296041
25367,1550,295889
25373,1548,295784
25391,1544,295818
25409,1532,295708
25411,1572,295614
25423,1529,297267
25439,1566,296437
25447,1515,295709
25453,1699,295785
25457,1453,295610
25463,1576,295715
25469,1582,295723
25471,1559,295871
25523,1525,295736
25537,1503,297185
25541,1537,299495
25561,1538,296094
25577,1546,295856
25579,1480,295949
25583,1627,296441
25589,1596,296034
25601,1564,295722
25603,1584,295671
25609,1541,295917
25621,1570,295481
25633,1488,296066
25639,1635,296004
25643,1540,295919
25657,1538,295831
25667,1556,295734
25673,1533,296171
25679,1584,295721
25693,1548,295845
25703,1458,295812
25717,1499,295717
25733,1514,296192
25741,1541,295997
25747,1567,296061
25759,1558,295577
25763,1525,295866
25771,1517,295856
25793,1556,295658
25799,1530,295929
25801,1576,295579
25819,1548,295627
25841,1509,295620
25847,1609,295921
25849,1540,295562
25867,1599,295196
25873,1571,295586
25889,1456,295931
25903,1471,295449
25913,1543,295956
25919,1551,296157
25931,1536,295824
25933,1498,295771
25939,1565,340844
25943,1531,295686
25951,1531,295771
25969,1554,295657
25981,1548,295935
25997,1540,295670
25999,1533,295787
26003,1516,295829
26017,1455,297170
26021,1566,299363
26029,1531,296209
26041,1562,296057
26053,1501,296028
26083,1520,295953
26099,1513,295828
26107,1523,295910
26111,1591,295913
26113,1525,296355
26119,1511,296675
26141,1552,296923
26153,1568,296867
26161,1490,297243
26171,1485,296811
26177,1496,297117
26183,1504,297521
26189,1636,296929
26203,1534,296912
26209,1626,296924
26227,1458,296962
26237,1530,296564
26249,1483,296848
26251,1566,297147
26261,1493,296495
26263,1575,297065
26267,1490,296818
26293,1495,296756
26297,1495,296596
26309,1500,296883
26317,1525,296821
26321,1564,296789
26339,1517,296674
26347,1494,296777
26357,1505,296677
26371,1536,296736
26387,1513,295965
26393,1526,295750
26399,1473,296049
26407,1597,295898
26417,1529,295912
26423,1473,297001
26431,1541,295788
26437,1526,296441
26449,1585,296067
26459,1497,296105
26479,1462,300079
26489,1504,296457
26497,1504,296007
26501,1504,296344
26513,1514,296208
26539,1511,297195
26557,1493,298629
26561,1554,296350
26573,1461,295982
26591,1475,297827
26597,1487,296875
26627,1489,296040
26633,1516,295847
26641,1551,295915
26647,1511,295902
26669,1523,296224
26681,1506,296201
26683,1601,296036
26687,1514,296524
26693,1477,296720
26699,1498,296603
26701,1485,296910
26711,1504,296476
26713,1476,296962
26717,1511,295565
26723,1564,295888
26729,1480,296195
26731,1536,295651
26737,1568,295684
26759,1492,295501
26777,1492,295742
26783,1498,295949
26801,1536,295716
26813,1465,295831
26821,1536,295773
26833,1456,295766
26839,1487,296021
26849,1493,295974
26861,1469,296020
26863,1568,295671
26879,1477,296243
26881,1548,296321
26891,1452,295657
26893,1504,295998
26903,1450,296175
26921,1433,295792
26927,1445,295631
26947,1547,295742
26951,1536,295837
26953,1456,295859
26959,1432,295967
26981,1516,295949
26987,1473,295703
26993,1432,295875
27011,1479,295859
27017,1528,297381
27031,1431,297952
27043,1493,296804
27059,1460,296044
27061,1540,295815
27067,1421,295929
27073,1525,295854
27077,1481,296101
27091,1458,295766
27103,1480,295987
27107,1490,295820
27109,1495,295593
27127,1505,295757
27143,1455,295867
27179,1449,295716
27191,1520,296124
27197,1437,295557
27211,1530,296532
27239,1526,295814
27241,1466,295998
27253,1468,296501
27259,1465,295736
27271,1454,296022
27277,1429,296496
27281,1519,295916
27283,1481,295992
27299,1519,295877
27329,1390,295786
27337,1431,295704
27361,1470,295883
27367,1390,295705
27397,1464,295402
27407,1429,295576
27409,1456,295721
27427,1491,295807
27431,1409,295735
27437,1447,295772
27449,1489,295934
27457,1381,295751
27479,1442,295973
27481,1386,296294
27487,1414,295889
27509,1440,295797
27527,1419,295690
27529,1469,296091
27539,1463,295649
27541,1458,295796
27551,1406,298381
27581,1466,295769
27583,1417,296119
27611,1455,295871
27617,1458,297563
27631,1464,298631
27647,1434,296084
27653,1388,296068
27673,1391,295835
27689,1421,295982
27691,1468,296715
27697,1444,295788
27701,1472,296005
27733,1422,295830
27737,1461,295920
27739,1396,295853
27743,1450,296135
27749,1455,295951
27751,1430,295709
27763,1420,295796
27767,1389,295909
27773,1449,295927
27779,1387,296134
27791,1424,295686
27793,1443,296368
27799,1434,296655
27803,1493,295985
27809,1385,295738
27817,1471,295551
27823,1444,296363
27827,1451,295739
27847,1475,295947
27851,1445,295737
27883,1419,295864
27893,1437,295955
27901,1382,295811
27917,1478,295887
27919,1382,296011
27941,1446,295825
27943,1454,295790
27947,1512,295779
27953,1365,296337
27961,1457,295875
27967,1413,296299
27983,1418,296040
27997,1411,295686
28001,1445,295804
28019,1413,279333
28027,1429,296064
28031,1446,296225
28051,1326,295857
28057,1408,296196
28069,1379,295639
28081,1423,295921
28087,1442,296088
28097,1462,297423
28099,1405,300244
28109,1384,297132
28111,1403,297468
28123,1411,297251
28151,1407,297025
28163,1482,297091
28181,1448,296923
28183,1402,297400
28201,1410,297164
28211,1385,296840
28219,1450,298706
28229,1376,297823
28277,1432,297449
28279,1422,296725
28283,1410,296249
28289,1348,398885
28297,1468,296032
28307,1415,296070
28309,1381,296187
28319,1427,295915
28349,1436,295986
28351,1458,296236
28387,1435,296171
28393,1417,296275
28403,1395,295911
28409,1453,296217
28411,1375,295640
28429,1420,296105
28433,1391,295846
28439,1398,295904
28447,1387,295938
28463,1370,295879
28477,1395,295957
28493,1348,296018
28499,1370,295967
28513,1370,296056
28517,1432,295899
28537,1331,296363
28541,1317,296349
28547,1442,296284
28549,1354,297293
28559,1390,295659
28571,1424,295972
28573,1442,296215
28579,1375,297023
28591,1386,296980
28597,1415,296991
28603,1342,297160
28607,1320,296914
28619,1410,297344
28621,1408,299850
28627,1408,295822
28631,1375,295939
28643,1413,295741
28649,1397,295799
28657,1382,296104
28661,1352,295895
28663,1310,296348
28669,1401,295620
28687,1344,296090
28697,1441,296100
28703,1412,295761
28711,1376,296481
28723,1373,295683
28729,1381,296058
28751,1409,296980
28753,1375,296137
28759,1361,296406
28771,1338,295804
28789,1399,296084
28793,1481,296030
28807,1322,296302
28813,1369,296022
28817,1392,295725
28837,1334,296117
28843,1360,295777
28859,1416,296280
28867,1324,295974
28871,1410,295635
28879,1395,295961
28901,1383,295849
28909,1376,295976
28921,1433,304320
28927,1396,295806
28933,1373,295837
28949,1395,295953
28961,1379,295960
28979,1356,295784
29009,1329,296019
29017,1341,296630
29021,1408,295679
29023,1418,295833
29027,1337,295885
29033,1309,295895
29059,1323,295962
29063,1376,295847
29077,1361,296284
29101,1368,296338
29123,1367,296650
29129,1423,297259
29131,1455,297888
29137,1407,300064
29147,1394,296701
29153,1345,296850
29167,1368,296866
29173,1340,296939
29179,1384,205947
29191,1441,296959
29201,1437,296200
29207,1425,295946
29209,1377,295742
29221,1315,295519
29231,1385,295576
29243,1415,296214
29251,1417,295874
29269,1316,296096
29287,1397,296518
29297,1408,296129
29303,1438,296000
29311,1375,295508
29327,1363,296142
29333,1394,295700
29339,1404,295984
29347,1396,296296
29363,1370,295818
29383,1328,296062
29387,1389,295771
29389,1332,295775
29399,1381,295891
29401,1396,295633
29411,1299,296531
29423,1343,296715
29429,1348,296545
29437,1419,296695
29443,1406,296636
29453,1386,296926
29473,1364,296442
29483,1333,296826
29501,1376,245324
29527,1410,296803
29531,1423,296755
29537,1324,296605
29567,1365,296726
29569,1378,295711
29573,1332,296321
29581,1377,295657
29587,1331,295761
29599,1306,297293
29611,1375,296677
29629,1343,297063
29633,1331,296884
29641,1328,297820
29663,1297,299787
29669,1359,310361
29671,1408,297234
29683,1357,296632
29717,1346,296564
29723,1347,297292
29741,1372,296353
29753,1346,297075
29759,1264,296700
29761,1300,296800
29789,1382,296925
29803,1369,296427
29819,1345,297277
29833,1391,296507
29837,1321,296450
29851,1349,297130
29863,1343,296749
29867,1350,297061
29873,1334,296761
29879,1406,296790
29881,1323,296672
29917,1294,296607
29921,1322,297140
29927,1306,296743
29947,1323,297194
29959,1337,296820
29983,1348,296630
29989,1326,295803
30011,1315,295574
30013,1341,296411
30029,1306,295835
30047,1307,296203
30059,1344,296179
30071,1346,296262
30089,1336,295660
30091,1314,295607
30097,1313,296081
30103,1356,338153
30109,1337,295761
30113,1344,295965
30119,1351,295786
30133,1305,295675
30137,1357,300839
30139,1371,299079
30161,1325,295836
30169,1367,295736
30181,1322,296080
30187,1381,295815
30197,1328,295699
30203,1299,297575
30211,1281,298355
30223,1289,296976
30241,1346,297221
30253,1261,297053
30259,1297,297096
30269,1297,296831
30271,1340,297514
30293,1338,300322
30307,1319,296914
30313,1334,296569
30319,1282,295704
30323,1367,295699
30341,1354,295604
30347,1320,295926
30367,1333,295943
30389,1275,296404
30391,1293,296183
30403,1258,296114
30427,1249,295907
30431,1335,296295
30449,1308,295968
30467,1317,296391
30469,1376,296059
30491,1345,296831
30493,1307,296008
30497,1249,296343
30509,1294,296073
30517,1309,296263
30529,1304,296122
30539,1345,296174
30553,1315,296024
30557,1261,296192
30559,1274,295986
30577,1303,296037
30593,1304,295705
30631,1293,296014
30637,1314,296400
30643,1288,295818
30649,1274,295895
30661,1317,295882
30671,1261,295997
30677,1274,296113
30689,1287,296064
30697,1355,380728
30703,1327,296127
30707,1243,296332
30713,1333,296195
30727,1311,295977
30757,1262,295876
30763,1283,297743
30773,1312,297754
30781,1319,297949
30803,1275,295862
30809,1304,296165
30817,1360,295758
30829,1360,295611
30839,1299,302480
30841,1320,295817
30851,1266,295781
30853,1330,295755
30859,1303,296137
30869,1303,295966
30871,1329,295838
30881,1287,296442
30893,1325,295611
30911,1324,295853
30931,1217,296031
30937,1304,295809
30941,1320,295907
30949,1312,295875
30971,1270,295835
30977,1296,295611
30983,1297,295848
31013,1231,296365
31019,1317,295561
31033,1340,296133
31039,1268,296065
31051,1289,295715
31063,1357,296613
31069,1209,296302
31079,1292,296070
31081,1247,295917
31091,1294,295545
31121,1305,295796
31123,1260,295770
31139,1316,296322
31147,1280,295606
31151,1304,296075
31153,1284,296059
31159,1285,295888
31177,1222,296036
31181,1321,295898
31183,1312,295945
31189,1260,295660
31193,1226,295853
31219,1288,270479
31223,1246,295859
31231,1249,296442
31237,1216,295493
31247,1242,295730
31249,1289,296940
31253,1239,298320
31259,1275,296461
31267,1336,295816
31271,1305,303272
31277,1250,304918
31307,1289,296225
31319,1291,296777
31321,1293,296449
31327,1282,296288
31333,1355,296706
31337,1211,296625
31357,1256,296622
31379,1284,296839
31387,1285,297198
31391,1248,297113
31393,1234,297362
31397,1304,297871
31469,1321,296988
31477,1330,296815
31481,1275,297225
31489,1251,296988
31511,1271,297139
31513,1232,296819
31517,1294,297125
31531,1255,296136
31541,1237,295982
31543,1209,296306
31547,1300,296629
31567,1220,296953
31573,1294,296791
31583,1252,297107
31601,1242,296854
31607,1256,296686
31627,1294,296837
31643,1231,296860
31649,1222,296943
31657,1342,299150
31663,1228,299232
31667,1240,297212
31687,1249,297052
31699,1335,297731
31721,1251,298257
31723,1249,333948
31727,1321,306452
31729,1271,298208
31741,1275,304719
31751,1303,311724
31769,1281,303095
31771,1299,297050
31793,1292,298160
31799,1269,300354
31817,1253,298996
31847,1257,296781
31849,1196,298028
31859,1240,297172
31873,1232,296688
31883,1275,297083
31891,1238,296996
31907,1175,296847
31957,1250,296628
31963,1213,297015
31973,1262,296836
31981,1242,296631
31991,1230,296956
32003,1306,296762
32009,1265,296800
32027,1277,297316
32029,1226,296775
32051,1266,296885
32057,1272,296474
32059,1297,296690
32063,1259,296808
32069,1232,296067
32077,1249,295917
32083,1271,446940
32089,1249,295987
32099,1243,295916
32117,1248,296137
32119,1238,296416
32141,1193,296959
32143,1205,296863
32159,1240,296559
32173,1255,296776
32183,1292,296738
32189,1289,296630
32191,1280,296991
32203,1289,297106
32213,1269,296863
32233,1234,296879
32237,1155,298146
32251,1200,301412
32257,1201,296984
32261,1269,296770
32297,1239,300657
32299,1249,307326
32303,1155,301708
32309,1207,298573
32321,1216,309490
32323,1244,331761
32327,1244,331793
32341,1177,303239
32353,1303,317832
32359,1225,322880
32363,1287,316632
32369,1234,314060
32371,1188,310172
32377,1205,309752
32381,1258,307252
32401,1193,307903
32411,1187,311746
32413,1240,323130
32423,1270,312554
32429,1225,295767
32441,1181,295886
32443,1223,252978
32467,1218,296052
32479,1232,296084
32491,1272,295650
32497,1235,295864
32503,1204,295843
32507,1249,295708
32531,1149,295773
32533,1248,295645
32537,1183,303804
32561,1225,296910
32563,1271,297336
32569,1249,297547
32573,1276,297269
32579,1222,295702
32587,1178,295345
32603,1244,295835
32609,1216,297501
32611,1226,295682
32621,1262,295692
32633,1150,295796
32647,1272,295501
32653,1197,296114
32687,1248,295455
32693,1195,295415
32707,1234,295640
32713,1230,295666
32717,1245,295530
32719,1194,295638
32749,1178,295883
32771,1203,295701
32779,1257,295593
32783,1218,295663
32789,1239,295728
32797,1176,298409
32801,1262,296751
32803,1233,297900
32831,1211,296005
32833,1278,295606
32839,1164,295738
32843,1210,295509
32869,1261,295681
32887,1248,295517
32909,1232,296051
32911,1184,296601
32917,1206,295589
32933,1151,295452
32939,1229,295669
32941,1198,295671
32957,1230,295827
32969,1198,295989
32971,1283,295915
32983,1350,295493
32987,1232,295794
32993,1204,295992
32999,1200,295329
33013,1209,295420
33023,1245,295750
33029,1195,295444
33037,1232,295568
33049,1187,295683
33053,1198,295861
33071,1168,295874
33073,1201,295905
33083,1231,295556
33091,1195,376477
33107,1213,295966
33113,1250,295675
33119,1162,295700
33149,1257,295746
33151,1172,295650
33161,1226,296258
33179,1218,295598
33181,1269,295605
33191,1222,295639
33199,1227,295629
33203,1154,295790
33211,1225,297865
33223,1216,295910
33247,1098,295666
33287,1175,295783
33289,1204,295779
33301,1226,295586
33311,1077,296702
33317,1191,295701
33329,1272,295693
33331,1179,297029
33343,1191,300637
33347,1158,296107
33349,1260,295936
33353,1125,295650
33359,1239,295498
33377,1187,295780
33391,1182,295747
33403,1184,295776
33409,1207,295666
33413,1164,295433
33427,1185,295741
33457,1202,295592
33461,1243,295852
33469,1217,296060
33479,1191,295572
33487,1274,296278
33493,1153,295882
33503,1181,295597
33521,1271,296104
33529,1198,295732
33533,1152,296316
33547,1170,296043
33563,1263,295856
33569,1217,295989
33577,1170,295642
33581,1217,295686
33587,1215,295637
33589,1212,295701
33599,1185,295483
33601,1169,295480
33613,1232,296318
33617,1215,295680
33619,1201,295576
33623,1181,295754
33629,1223,295931
33637,1196,295658
33641,1175,295669
33647,1267,295521
33679,1239,295837
33703,1177,295660
33713,1179,295602
33721,1164,295382
33739,1146,298235
33749,1220,295751
33751,1207,295460
33757,1130,300760
33767,1140,296151
33769,1187,295779
33773,1197,295664
33791,1182,296557
33797,1215,298714
33809,1199,296286
33811,1154,295813
33827,1137,295938
33829,1192,295617
33851,1153,295804
33857,1224,295853
33863,1154,295977
33871,1184,296845
33889,1156,295898
33893,1197,295869
33911,1188,295668
33923,1129,295897
33931,1222,295665
33937,1147,295571
33941,1163,296046
33961,1227,296318
33967,1101,295631
33997,1066,295548
34019,1184,295586
34031,1169,295468
34033,1151,295522
34039,1173,295582
34057,1095,295389
34061,1243,295757
34123,1163,296216
34127,1173,295804
34129,1181,295573
34141,1152,295392
34147,1203,295581
34157,1158,295345
34159,1158,295752
34171,1177,296517
34183,1202,295578
34211,1083,295915
34213,1173,295549
34217,1165,295600
34231,1158,295880
34253,1172,295723
34259,1197,295808
34261,1143,296061
34267,1163,295730
34273,1173,296390
34283,1228,295658
34297,1168,295899
34301,1128,299305
34303,1166,295683
34313,1158,295524
34319,1177,295788
34327,1205,296000
34337,1187,296360
34351,1172,298250
34361,1181,295657
34367,1249,295649
34369,1219,295768
34381,1157,295521
34403,1137,295634
34421,1126,295576
34429,1111,295336
34439,1167,295663
34457,1205,295480
34469,1107,295770
34471,1171,295422
34483,1210,295682
34487,1149,295473
34499,1166,295644
34501,1174,295953
34511,1134,295607
34513,1059,295696
34519,1161,364154
34537,1147,295723
34543,1115,295629
34549,1175,295702
34583,1202,295588
34589,1159,295572
34591,1183,295736
34603,1162,296318
34607,1193,295697
34613,1200,296076
34631,1201,295805
34649,1106,295578
34651,1195,296095
34667,1124,295430
34673,1145,295524
34679,1145,295474
34687,1189,296193
34693,1207,295856
34703,1138,295503
34721,1204,295676
34729,1123,295348
34739,1173,295686
34747,1125,295579
34757,1179,295360
34759,1139,297604
34763,1197,295604
34781,1121,296537
34807,1194,296095
34819,1132,295763
34841,1163,295734
34843,1156,295451
34847,1123,295626
34849,1145,297024
34871,1175,301536
34877,1196,295821
34883,1138,295828
34897,1121,295840
34913,1159,295580
34919,1120,295809
34939,1114,295576
34949,1138,295574
34961,1161,296093
34963,1094,295787
34981,1112,295808
35023,1095,295804
35027,1132,295586
35051,1127,295555
35053,1098,295506
35059,1133,296505
35069,1161,295675
35081,1104,295347
35083,1160,295445
35089,1130,295561
35099,1052,295503
35107,1102,296153
35111,1143,295485
35117,1125,295528
35129,1148,295553
35141,1068,295579
35149,1152,295457
35153,1111,295973
35159,1171,295599
35171,1172,295569
35201,1164,295862
35221,1150,295468
35227,1139,295542
35251,1149,295640
35257,1128,295786
35267,1039,295630
35279,1078,295704
35281,1104,295999
35291,1122,295924
35311,1133,295482
35317,1110,295524
35323,1158,295140
35327,1102,295583
35339,1139,295472
35353,1070,295443
35363,1116,295639
35381,1122,295401
35393,1160,295380
35401,1134,295238
35407,1148,296605
35419,1173,298042
35423,1060,296656
35437,1143,295902
35447,1098,305808
35449,1133,300611
35461,1175,296022
35491,1060,296105
35507,1132,296037
35509,1172,295889
35521,1142,296215
35527,1095,296045
35531,1123,295714
35533,1101,296234
35537,1134,295794
35543,1132,296228
35569,1181,296792
35573,1164,296024
35591,1095,296058
35593,1159,295612
35597,1111,295800
35603,1101,295951
35617,1169,295885
35671,1137,296118
35677,1152,295846
35729,1148,296069
35731,1151,296314
35747,1100,295981
35753,1077,296265
35759,1184,295854
35771,1135,295850
35797,1145,296004
35801,1186,295723
35803,1105,296319
35809,1136,296116
35831,1082,296183
35837,1112,295654
35839,1129,295846
35851,1117,295631
35863,1058,350421
35869,1102,295801
35879,1079,295493
35897,1151,295502
35899,1072,295712
35911,1140,295418
35923,1111,295733
35933,1102,296625
35951,1155,296667
35963,1120,295974
35969,1081,295691
35977,1173,296107
35983,1075,296702
35993,1131,298200
35999,1150,295504
36007,1105,295637
36011,1143,295379
36013,1085,295103
36017,1037,295484
36037,1084,295486
36061,1104,295623
36067,1115,295957
36073,1122,295648
36083,1114,295819
36097,1109,295494
36107,1132,295687
36109,1098,295536
36131,1186,295383
36137,1121,296428
36151,1133,295773
36161,1075,295900
36187,1062,295683
36191,1127,295745
36209,1118,295802
36217,1063,295559
36229,1101,295746
36241,1119,295809
36251,1108,295659
36263,1101,295860
36269,1101,295484
36277,1073,295591
36293,1120,295669
36299,1107,295862
36307,1103,295915
36313,1189,295444
36319,1066,295943
36341,1153,295645
36343,1135,295774
36353,1148,295735
36373,1049,295818
36383,1166,296135
36389,1108,295561
36433,1142,296191
36451,1090,295649
36457,1121,295540
36467,1122,296110
36469,1064,295638
36473,1114,296191
36479,1086,296192
36493,1124,296103
36497,1129,295811
36523,1115,295574
36527,1091,297033
36529,1065,297912
36541,1108,296459
36551,1130,295868
36559,1074,295695
36563,1147,295674
36571,1098,295284
36583,1148,295870
36587,1042,295839
36599,1020,295734
36607,1088,296278
36629,1071,295800
36637,1108,295532
36643,1049,295785
36653,1039,295798
36671,1074,296198
36677,1081,295594
36683,1068,296153
36691,1123,295427
36697,1086,295518
36709,1074,295780
36713,1050,296088
36721,1044,295495
36739,1111,295424
36749,1111,295943
36761,1140,296040
36767,1080,295382
36779,1082,296115
36781,1066,295500
36787,1112,295597
36791,1073,269305
36793,1092,295738
36809,1074,295613
36821,1045,295257
36833,1139,295791
36847,1064,295661
36857,1085,295576
36871,1087,295489
36877,1019,295652
36887,1027,295951
36899,1118,295623
36901,1127,295640
36913,1132,295766
36919,1084,295515
36923,1117,295750
36929,1083,298272
36931,1080,295787
36943,1063,295667
36947,1125,295827
36973,1049,295780
36979,1088,295502
36997,1087,297140
37003,1062,298598
37013,1078,296112
37019,1059,295966
37021,1083,295945
37039,1068,295770
37049,1067,295459
37057,1090,295639
37061,1049,295764
37087,1102,295507
37097,1128,296248
37117,1106,295593
37123,1072,295433
37139,1065,295385
37159,1058,295444
37171,1014,295854
37181,1090,295750
37189,1029,295525
37199,1081,295624
37201,1082,295521
37217,1054,296047
37223,1036,295583
37243,1093,295806
37253,1074,295482
37273,1039,295825
37277,1098,295485
37307,1082,295701
37309,1076,300724
37313,1101,295869
37321,1045,295478
37337,1086,295527
37339,1022,295732
37357,1089,296106
37361,1043,296186
37363,1016,295767
37369,1044,295799
37379,1093,295850
37397,1074,295913
37409,1018,295711
37423,1060,295489
37441,1098,295511
37447,1033,295622
37463,1078,295677
37483,1008,295924
37489,1059,295992
37493,1123,295702
37501,1100,295894
37507,1061,295995
37511,1072,295748
37517,1090,295670
37529,1021,295412
37537,1082,296818
37547,1091,298743
37549,1068,295718
37561,1032,295740
37567,989,295674
37571,1064,295491
37573,1038,295804
37579,1049,296211
37589,1127,295820
37591,1020,295446
37607,1055,295856
37619,1053,295646
37633,1023,295639
37643,1082,295959
37649,1062,295765
37657,1017,295629
37663,1027,296050
37691,1070,296319
37693,1091,295751
37699,1044,295518
37717,1058,332660
37747,1050,295869
37781,996,295831
37783,1053,295847
37799,1086,295818
37811,1057,295407
37813,1069,295428
37831,1015,295525
37847,1092,295703
37853,1027,295437
37861,1092,296110
37871,1072,295578
37879,1102,295625
37889,1091,295960
37897,1034,295711
37907,1028,295800
37951,1046,295439
37957,1035,295896
37963,1115,296030
37967,1106,295738
37987,1009,295873
37991,1007,295519
37993,1157,295558
37997,1073,295654
38011,1046,295855
38039,1078,296032
38047,1068,296837
38053,1090,295628
38069,1095,295990
38083,1042,295469
38113,1045,297298
38119,1084,297702
38149,1059,299151
38153,1026,296049
38167,1067,295780
38177,1100,295546
38183,1048,295365
38189,1051,295583
38197,1036,295514
38201,1017,295482
38219,1073,295801
38231,1036,295859
38237,1056,295935
38239,1020,295405
38261,1106,296085
38273,970,295736
38281,1041,295692
38287,1069,296130
38299,1040,295556
38303,979,295527
38317,1099,295657
38321,1050,295710
38327,1041,295687
38329,1023,295418
38333,1037,296040
38351,1031,295631
38371,1014,295740
38377,1055,295778
38393,1066,295552
38431,1027,295555
38447,983,295608
38449,975,295648
38453,1081,295560
38459,1054,295755
38461,1101,295509
38501,1039,295591
38543,1008,295921
38557,1003,295520
38561,1062,295931
38567,1066,295770
38569,1086,295645
38593,1071,295657
38603,1011,295555
38609,999,295507
38611,1085,295795
38629,1035,295764
38639,1000,295944
38651,1081,297135
38653,995,297500
38669,1084,295642
38671,1023,295628
38677,1031,297276
38693,1046,299482
38699,1006,295878
38707,1060,295692
38711,1017,295627
38713,1080,295566
38723,983,295445
38729,1063,295805
38737,1082,295692
38747,1017,295511
38749,994,295737
38767,1002,295640
38783,1049,296106
38791,1047,295939
38803,1056,296180
38821,1065,295488
38833,996,296201
38839,953,296263
38851,966,296143
38861,1036,296411
38867,1008,296015
38873,999,295937
38891,1001,295738
38903,1084,295482
38917,1037,295776
38921,960,295627
38923,1030,295629
38933,983,295564
38953,1052,412077
38959,1067,295393
38971,1071,296005
38977,1075,295659
38993,1044,295606
39019,1022,295420
39023,1022,296192
39041,1071,295823
39043,1068,295428
39047,1051,295835
39079,1054,295706
39089,1009,295550
39097,1030,295596
39103,968,295631
39107,1063,295893
39113,1028,295520
39119,1002,296329
39133,1051,448962
39139,1059,295870
39157,1021,295648
39161,969,295339
39163,1030,295418
39181,1054,296704
39191,1041,298269
39199,991,295588
