121,115,146,190,310,522,911,1702,3331,6358,12757,24864,47313,95322,184352,388180,774201,1545232,3047543,6288547,13033634,25695486,59191400,
123,118,142,186,296,501,887,1658,3328,6346,12335,24642,48875,98304,195814,376458,755171,1545731,3138283,6257354,13138762,25518156,60237968,
122,126,155,207,325,554,990,1899,3691,7276,14144,28505,57872,114341,232868,456420,920856,1851897,3704170,7354690,14840603,29406095,67922711,
148,138,162,215,330,569,994,1779,3559,6984,13654,27665,53620,107305,209614,422453,837059,1704639,3400436,6830820,13856078,27868038,66046848,
-1,188,222,279,372,585,959,1699,3278,6098,11995,24781,48883,95306,197108,390521,801837,1597232,3160131,6499631,12981349,26153577,60308233,
-1,-1,273,328,432,654,1065,1928,3609,6944,13419,25621,53740,103235,211793,407766,800243,1643816,3303442,6517998,13049580,26770996,61823179,
-1,350,383,436,568,771,1257,1833,3367,6205,12090,23909,47499,94683,189247,379851,752589,1530876,3047966,6120709,12472325,25173599,61432143,
-1,642,681,722,853,1148,1728,2164,3734,6573,12355,23742,51318,94627,198713,379165,758549,1624686,3370045,6610764,13746184,28015973,65056314,
-1,-1,-1,1645,1734,1934,2371,3209,5560,8687,15255,32235,59298,120649,236743,474654,982205,2030815,4101935,8320230,16203241,32162234,73433673,
-1,-1,-1,-1,2991,3197,3534,4352,5983,9440,16138,29461,57730,112447,224595,431741,879832,1756440,3606956,7366707,14767491,30055039,68366719,
-1,-1,-1,-1,4750,5130,5507,6504,7938,11114,17496,30678,55651,104836,199526,405213,805393,1622294,3273619,6540587,13433735,27545125,63882114,
-1,-1,-1,-1,11545,11747,12052,12859,15528,18664,25450,37973,64618,120703,232393,447192,915290,1832534,3641842,7369751,15063326,29567598,68078556,
-1,-1,-1,-1,15196,15604,15757,17001,19097,21701,28764,38198,62756,110390,221412,392709,779629,1509073,3001485,6189695,12573711,25349412,59895817,
-1,-1,34142,37169,39811,35417,35023,35969,37483,42102,48932,62888,86525,135513,232511,440431,835172,1643032,3296602,6604367,13208325,25625284,60135837,
-1,-1,55315,54565,55821,56544,55332,55840,59110,62329,65457,78441,100057,149322,236922,411765,773458,1523417,3012156,6139008,12260456,24855995,59402976,
-1,-1,-1,-1,134051,134903,135442,139905,137145,139709,146878,161993,183753,230123,325988,523024,905980,1680691,3276048,6550259,13143220,26001337,60635931,
-1,-1,-1,237079,241718,240248,238379,235808,239614,241744,251477,258607,285071,324814,417579,598971,992293,1720670,3311496,6417028,12745068,25407732,60566529,
-1,-1,-1,558917,556717,559002,559866,561825,563472,567752,572907,586561,610116,657112,753169,951619,1401189,2171989,3777613,7074063,13889359,26951697,60847545,
-1,-1,-1,-1,1057446,1053025,1063843,1073122,1075578,1074285,1082007,1094284,1090656,1145334,1228354,1435663,1847508,2603226,4225316,7546720,14006489,27202688,
-1,-1,-1,-1,-1,2399017,2421176,2451147,2439537,2450366,2423705,2411708,2480989,2475763,2584539,2785805,3222147,4101715,5829331,9404997,16522903,30219556,
-1,-1,-1,-1,3971412,3963332,3913109,3951363,3975203,4045399,4040126,4036687,3979531,4037700,4213899,4366303,4753753,5499708,7108962,10297491,16757719,29339045,
-1,-1,-1,-1,8125952,8116399,8056782,8025889,7973434,8006333,7878060,7906897,7923033,7801122,7992358,8158950,8535380,9376204,10960273,14143170,20480585,33191314,
-1,-1,-1,14235809,14267363,14433448,14479920,14755385,14789916,14909394,14612815,14174243,14434663,14482580,14685717,14744990,15001096,15871824,



























